Levy,Manufacturer,Model,Prod. year,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Color,Airbags,Price
915,JEEP,Grand Cherokee,2014,Jeep,Yes,Diesel,3,164011 km,6.0,Automatic,Rear,4-5,Left wheel,Blue,0,Low
1399,FORD,Taurus,2010,Sedan,Yes,Petrol,3.5,56503 km,4.0,Automatic,Front,4-5,Left wheel,Silver,4,Very High
1017,MERCEDES-BENZ,GLA 250,2017,Jeep,Yes,Petrol,2,44995 km,4.0,Automatic,4x4,4-5,Left wheel,Black,0,Very High
924,VOLKSWAGEN,Passat,2017,Sedan,Yes,Petrol,1.8,67120 km,4.0,Automatic,Front,4-5,Left wheel,Blue,12,Medium
-,NISSAN,X-Terra,2003,Jeep,No,CNG,3.3,300000 km,6.0,Manual,4x4,4-5,Left wheel,Silver,2,Medium
-,NISSAN,Pathfinder,2010,Sedan,No,Petrol,4,109100 km,12.0,Automatic,4x4,4-5,Left wheel,Blue,12,Very High
333,SUBARU,XV,2014,Jeep,Yes,Hybrid,2,99200 km,4.0,Tiptronic,4x4,4-5,Left wheel,Green,12,Very High
-,TOYOTA,Avensis,2004,Sedan,No,Petrol,2,138643 km,4.0,Automatic,Front,4-5,Right-hand drive,Silver,8,Medium
-,HONDA,Civic,2016,Sedan,No,Petrol,1.5 Turbo,66200 km,4.0,Automatic,Front,4-5,Left wheel,Grey,12,Very High
1172,MERCEDES-BENZ,E 350,2011,Sedan,Yes,Diesel,3.5,230696 km,6.0,Automatic,4x4,4-5,Left wheel,Black,12,Low
-,HONDA,FIT,2011,Hatchback,No,Hybrid,1.3,165000 km,4.0,Variator,Front,4-5,Right-hand drive,Blue,4,Medium
751,HYUNDAI,Sonata,2013,Sedan,Yes,Petrol,2.4,216118 km,4.0,Automatic,Front,4-5,Left wheel,Grey,12,Low
503,TOYOTA,Prius C,2012,Sedan,No,Hybrid,1.5,100000 km,4.0,Tiptronic,Front,4-5,Left wheel,Black,12,Medium
271,TOYOTA,Prius C,2014,Hatchback,No,Hybrid,1.5,73000 km,4.0,Automatic,Front,4-5,Left wheel,Black,12,High
1055,LEXUS,RX 450,2013,Jeep,Yes,Hybrid,3.5,361603 km,6.0,Automatic,Front,4-5,Left wheel,Black,12,Low
1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,317470 km,6.0,Automatic,4x4,4-5,Left wheel,Grey,12,Low
-,TOYOTA,Aqua,2014,Sedan,No,Hybrid,1.5,111000 km,4.0,Automatic,Rear,4-5,Right-hand drive,Black,0,Low
1885,PORSCHE,Panamera,2010,Hatchback,Yes,Petrol,4.8,196800 km,8.0,Tiptronic,4x4,4-5,Left wheel,White,8,Very High
-,DODGE,Caravan,2006,Minivan,No,LPG,3.3,135000 km,6.0,Automatic,Front,4-5,Left wheel,Blue,12,Medium
-,OPEL,Astra,1994,Sedan,No,Petrol,1.6,0 km,4.0,Manual,Front,2-3,Left wheel,Green,2,Low
-,FIAT,500 Abarth ტურბო,2012,Sedan,No,Petrol,1.4 Turbo,100000 km,6.0,Manual,Front,2-3,Left wheel,Grey,6,High
-,OPEL,Astra,2008,Universal,No,Diesel,1.7 Turbo,157000 km,4.0,Manual,Front,4-5,Left wheel,Beige,6,Medium
640,CHEVROLET,Malibu,2013,Sedan,Yes,Petrol,2,114107 km,4.0,Automatic,Front,4-5,Left wheel,Blue,12,Low
891,MITSUBISHI,Outlander SPORT,2016,Jeep,No,Petrol,2,73542 km,4.0,Automatic,Front,4-5,Left wheel,Black,8,Very High
765,HYUNDAI,Santa FE Ultimate,2015,Jeep,Yes,Petrol,2.0 Turbo,76000 km,4.0,Tiptronic,4x4,4-5,Left wheel,Black,12,Very High
765,SSANGYONG,REXTON,2015,Jeep,Yes,Diesel,2,62575 km,4.0,Automatic,Front,4-5,Left wheel,Black,4,Very High
1202,JEEP,Renegade,2017,Jeep,Yes,Petrol,2.4,78000 km,4.0,Tiptronic,4x4,4-5,Left wheel,Red,16,Very High
1399,MERCEDES-BENZ,E 350,2010,Sedan,Yes,Petrol,3.5,229904 km,6.0,Automatic,4x4,4-5,Left wheel,Black,12,Low
528,HYUNDAI,Elantra,2014,Sedan,Yes,Petrol,1.6,86000 km,4.0,Automatic,Front,4-5,Left wheel,White,4,Very High
-,MERCEDES-BENZ,Sprinter,2007,Microbus,No,Diesel,2.2 Turbo,249000 km,4.0,Manual,Rear,4-5,Left wheel,White,2,Very High
1017,HYUNDAI,Elantra,2017,Sedan,No,Petrol,2,34000 km,4.0,Tiptronic,Front,4-5,Left wheel,Black,12,Very High
585,HYUNDAI,Elantra,2013,Sedan,No,Petrol,1.8,138000 km,4.0,Automatic,Front,4-5,Left wheel,Grey,12,High
-,TOYOTA,Vitz,2006,Hatchback,No,Petrol,1.3,111000 km,4.0,Automatic,Front,4-5,Right-hand drive,Blue,4,Medium
585,TOYOTA,Prius plug-in,2013,Hatchback,No,Plug-in Hybrid,1.8,120681 km,4.0,Automatic,Front,4-5,Left wheel,White,8,Medium
-,SUBARU,Forester,2006,Jeep,No,Petrol,2,257600 km,1.0,Tiptronic,4x4,4-5,Right-hand drive,Black,2,Medium
1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,200179 km,6.0,Automatic,4x4,4-5,Left wheel,Black,12,Very High
836,HYUNDAI,Tucson,2010,Jeep,Yes,Diesel,2,160114 km,4.0,Automatic,Front,4-5,Left wheel,Grey,4,Very High
1399,LEXUS,RX 450,2010,Jeep,Yes,Hybrid,3.5,382746 km,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,Low
781,HYUNDAI,H1,2012,Minivan,Yes,Diesel,2.5,52600 km,4.0,Automatic,Front,4-5,Left wheel,White,4,High
1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Diesel,3.5,219030 km,6.0,Automatic,4x4,4-5,Left wheel,Black,12,Very High
-,OPEL,Corsa,1999,Sedan,No,Petrol,1.2,1234567899 km,4.0,Manual,Front,4-5,Left wheel,Silver,2,Low
638,DAIHATSU,Move,2012,Hatchback,No,Petrol,0.7,71000 km,3.0,Automatic,Front,4-5,Right-hand drive,Purple,4,Medium
-,OPEL,Astra,1994,Sedan,No,CNG,1.6,0 km,4.0,Manual,Front,4-5,Left wheel,Green,2,Low
639,AUDI,A4,2014,Sedan,Yes,Petrol,2,123640 km,4.0,Automatic,4x4,4-5,Left wheel,Blue,0,Low
586,TOYOTA,Prius,2012,Sedan,Yes,Hybrid,1.8,118000 km,4.0,Automatic,Front,4-5,Left wheel,Grey,12,Very High
1342,TOYOTA,Tacoma,2017,Jeep,Yes,Petrol,2.7,94262 km,4.0,Automatic,Rear,4-5,Left wheel,White,12,Very High
2386,HYUNDAI,Sonata,2006,Sedan,Yes,Petrol,3.3,295059 km,6.0,Automatic,Rear,4-5,Left wheel,Blue,12,Low
891,HYUNDAI,Santa FE,2016,Jeep,Yes,Diesel,2,17320 km,4.0,Automatic,Front,4-5,Left wheel,White,4,Very High
738,CHEVROLET,Cruze,2017,Sedan,No,Petrol,1.4 Turbo,46800 km,4.0,Automatic,Front,4-5,Left wheel,Black,6,Very High
-,RENAULT,Megane,2005,Goods wagon,No,Petrol,1.6,111111 km,4.0,Manual,Front,4-5,Left wheel,White,0,Medium
585,TOYOTA,Prius,2013,Hatchback,Yes,Hybrid,1.8,105328 km,4.0,Automatic,Front,4-5,Left wheel,White,12,Low
382,TOYOTA,Aqua,2017,Universal,Yes,Hybrid,1.5,9027 km,4.0,Automatic,Front,4-5,Left wheel,Blue,4,Very High
-,SUBARU,Forester L.L.BEAN,2004,Jeep,Yes,CNG,2.5,220000 km,4.0,Automatic,4x4,4-5,Left wheel,Green,5,Medium
640,SSANGYONG,REXTON,2013,Jeep,Yes,Diesel,2,123700 km,4.0,Automatic,Front,4-5,Left wheel,Black,4,Very High
-,DAIHATSU,Terios,2002,Jeep,Yes,Petrol,0.7 Turbo,88000 km,3.0,Automatic,4x4,4-5,Right-hand drive,Silver,6,Low
1194,TOYOTA,4Runner LIMITED,2013,Jeep,Yes,Petrol,4,112000 km,6.0,Tiptronic,4x4,4-5,Left wheel,Grey,8,Very High
1172,MERCEDES-BENZ,ML 350,2011,Jeep,Yes,Diesel,3.5,186542 km,6.0,Automatic,4x4,4-5,Left wheel,White,12,Low
687,MINI,Cooper,2010,Hatchback,Yes,Petrol,1.6,195602 km,4.0,Automatic,Front,4-5,Left wheel,Brown,12,Low
645,LEXUS,CT 200h,2011,Hatchback,Yes,Hybrid,1.8,83390 km,4.0,Automatic,Front,4-5,Left wheel,Black,12,Low
781,TOYOTA,Camry,2012,Sedan,Yes,Hybrid,2.5,83000 km,4.0,Variator,Front,4-5,Left wheel,Silver,10,Very High
1292,MERCEDES-BENZ,GLE 350,2016,Jeep,Yes,Petrol,3,86189 km,6.0,Automatic,4x4,4-5,Left wheel,Blue,0,Very High
1598,MERCEDES-BENZ,E 350,2008,Sedan,Yes,Diesel,3,175614 km,6.0,Automatic,Rear,4-5,Left wheel,Black,12,Low
-,MERCEDES-BENZ,E 280,1998,Sedan,Yes,CNG,2.8,3200 km,6.0,Automatic,4x4,4-5,Left wheel,Black,6,Medium
1514,LEXUS,GX 470,2011,Sedan,Yes,Petrol,4.6,202048 km,8.0,Automatic,4x4,4-5,Left wheel,White,0,Low
738,VOLKSWAGEN,Jetta,2017,Sedan,No,Petrol,1.4 Turbo,13000 km,4.0,Tiptronic,Front,4-5,Left wheel,White,12,Very High
502,TOYOTA,Aqua,2013,Hatchback,Yes,Hybrid,1.5,69500 km,4.0,Automatic,Front,4-5,Left wheel,Silver,4,Very High
765,HYUNDAI,Tucson,2015,Jeep,Yes,Diesel,2,100492 km,4.0,Automatic,Front,4-5,Left wheel,White,4,Very High
442,TOYOTA,Prius,2017,Sedan,Yes,Hybrid,1.8,47672 km,4.0,Automatic,Front,4-5,Left wheel,White,12,Low
-,BMW,X5 3.0i,2003,Universal,Yes,Petrol,3,260000 km,6.0,Automatic,4x4,4-5,Left wheel,Grey,8,High
1018,MERCEDES-BENZ,ML 350,2011,Jeep,Yes,Diesel,3,251120 km,6.0,Automatic,4x4,4-5,Left wheel,Black,12,Low
-,MITSUBISHI,Montero,2000,Jeep,Yes,CNG,3.5,22300 km,6.0,Tiptronic,4x4,4-5,Left wheel,White,8,Medium
915,AUDI,A7,2014,Hatchback,Yes,Petrol,3,140507 km,6.0,Automatic,4x4,4-5,Left wheel,Silver,0,Low
1017,CHEVROLET,Camaro,2017,Coupe,No,Petrol,2,67200 km,4.0,Tiptronic,Rear,2-3,Left wheel,Blue,8,Very High
-,MERCEDES-BENZ,E 320,2002,Sedan,Yes,Diesel,3.2 Turbo,0 km,8.0,Tiptronic,Rear,4-5,Left wheel,Blue,6,Medium
1194,TOYOTA,Tacoma,2013,Sedan,Yes,Petrol,4,57554 km,6.0,Automatic,4x4,4-5,Left wheel,Silver,12,High
642,HYUNDAI,Tucson,2012,Jeep,Yes,Diesel,2,102156 km,4.0,Automatic,Front,4-5,Left wheel,White,4,High
690,CHEVROLET,Cruze Premier,2016,Sedan,Yes,Petrol,1.5 Turbo,112879 km,4.0,Automatic,Front,4-5,Left wheel,Black,8,Medium
562,VOLKSWAGEN,Jetta SE,2015,Sedan,No,Petrol,1.4,69505 km,4.0,Tiptronic,Front,4-5,Left wheel,White,6,Medium
1694,NISSAN,Frontier,2016,Sedan,Yes,Petrol,4,105427 km,6.0,Automatic,Front,4-5,Left wheel,Brown,12,Low
397,LEXUS,CT 200h,2016,Hatchback,Yes,Hybrid,1.8,71904 km,4.0,Automatic,Front,4-5,Left wheel,White,0,Medium
-,MERCEDES-BENZ,Sprinter,2002,Microbus,No,Diesel,2.5 Turbo,290000 km,5.0,Manual,Rear,4-5,Left wheel,White,2,Medium
-,FORD,Fiesta,2011,Hatchback,No,Petrol,1.3,139200 km,4.0,Manual,Front,4-5,Left wheel,White,8,Medium
502,TOYOTA,Aqua,2013,Hatchback,Yes,Petrol,1.5,73938 km,4.0,Automatic,Front,4-5,Left wheel,Red,4,Very High
503,HONDA,Civic,2012,Sedan,Yes,Hybrid,1.5,146403 km,4.0,Automatic,Front,4-5,Left wheel,White,0,Low
-,BMW,525,2005,Sedan,Yes,Petrol,3,246000 km,4.0,Automatic,Rear,4-5,Left wheel,Black,6,Medium
474,CHEVROLET,Cruze,2013,Sedan,No,Petrol,1.4 Turbo,80000 km,4.0,Automatic,Front,4-5,Left wheel,Silver,8,Medium
399,HONDA,Shuttle,2019,Hatchback,No,Hybrid,1.5,9000 km,4.0,Automatic,4x4,4-5,Left wheel,Silver,6,High
1077,HYUNDAI,Santa FE,2019,Jeep,Yes,Diesel,2,47778 km,4.0,Automatic,Front,4-5,Left wheel,Grey,4,Very High
770,HYUNDAI,Tucson,2016,Jeep,Yes,Diesel,1.7,88230 km,4.0,Automatic,Front,4-5,Left wheel,Blue,4,Very High
-,MERCEDES-BENZ,C 230,2007,Sedan,Yes,Petrol,2.5,262000 km,6.0,Automatic,Rear,4-5,Left wheel,Silver,6,High
1325,TOYOTA,Camry,2019,Sedan,Yes,Petrol,2.5,17300 km,4.0,Tiptronic,Front,4-5,Left wheel,Black,12,Very High
-,BMW,320,2005,Sedan,No,Diesel,1.9,349930 km,1.0,Automatic,Rear,4-5,Left wheel,Black,0,High
831,SSANGYONG,Actyon,2017,Jeep,Yes,Petrol,1.6,81348 km,4.0,Automatic,Front,4-5,Left wheel,Silver,4,Very High
1077,HYUNDAI,Veloster,2019,Hatchback,No,Petrol,2,12000 km,4.0,Tiptronic,Front,4-5,Left wheel,White,12,Very High
-,VOLKSWAGEN,CC,2010,Sedan,Yes,Petrol,2.0 Turbo,168000 km,4.0,Automatic,Front,4-5,Left wheel,White,6,High
1604,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Petrol,5.5,101424 km,8.0,Automatic,4x4,4-5,Left wheel,Grey,12,Very High
-,VOLKSWAGEN,Passat,2015,Sedan,Yes,Petrol,1.8 Turbo,99000 km,4.0,Tiptronic,Front,4-5,Left wheel,Silver,9,High
765,HYUNDAI,Tucson,2015,Jeep,Yes,Diesel,2,150881 km,4.0,Automatic,Front,4-5,Left wheel,White,4,Very High
753,HYUNDAI,Sonata,2012,Sedan,Yes,Hybrid,2.4,259934 km,4.0,Automatic,Front,4-5,Left wheel,Red,0,Low
607,TOYOTA,Camry,2019,Sedan,Yes,Hybrid,2.5,9626 km,4.0,Automatic,Front,4-5,Left wheel,Black,12,Low
1086,CADILLAC,SRX,2012,Jeep,Yes,Petrol,3.6,0 km,6.0,Automatic,4x4,4-5,Left wheel,Black,12,Low
1172,MERCEDES-BENZ,E 350,2011,Sedan,Yes,Diesel,3.5,230696 km,6.0,Automatic,4x4,4-5,Left wheel,Black,12,Low
-,MERCEDES-BENZ,C 180,1997,Sedan,No,Petrol,1.8,445908 km,4.0,Automatic,Rear,4-5,Left wheel,Black,2,Medium
1286,VOLVO,XC90,2010,Jeep,Yes,Petrol,3.2,124000 km,6.0,Tiptronic,4x4,4-5,Left wheel,Black,9,Very High
1017,MERCEDES-BENZ,GLA 250,2017,Jeep,Yes,Petrol,2,43651 km,4.0,Automatic,Front,4-5,Left wheel,Silver,0,Low
1327,HYUNDAI,H1,2018,Universal,Yes,Diesel,2.5,27406 km,4.0,Automatic,Front,4-5,Left wheel,Yellow,4,Very High
761,TOYOTA,Prius,2010,Sedan,No,Hybrid,1.8,138160 km,4.0,Automatic,Front,4-5,Left wheel,Black,8,Medium
1399,MERCEDES-BENZ,E 350,2010,Sedan,Yes,Petrol,3.5,229904 km,6.0,Automatic,4x4,4-5,Left wheel,Black,12,Low
2225,LEXUS,GX 460,2017,Jeep,Yes,Petrol,4.6,0 km,8.0,Automatic,4x4,4-5,Left wheel,White,0,Low
1399,LEXUS,RX 350,2010,Jeep,Yes,Petrol,3.5,182618 km,6.0,Automatic,4x4,4-5,Left wheel,White,12,Low
650,CHEVROLET,Cruze,2016,Sedan,No,Petrol,1.4 Turbo,13120 km,4.0,Tiptronic,Front,4-5,Left wheel,White,12,Very High
1053,MERCEDES-BENZ,E 350,2014,Sedan,Yes,Petrol,3.5,146395 km,6.0,Automatic,Rear,4-5,Left wheel,Grey,12,Low
-,TOYOTA,Camry,2006,Sedan,Yes,Hybrid,2.4,18600 km,4.0,Automatic,Front,4-5,Left wheel,Grey,8,High
915,AUDI,A7,2014,Hatchback,Yes,Petrol,3,191373 km,6.0,Automatic,4x4,4-5,Left wheel,Grey,0,Medium
1664,LEXUS,LX 570,2013,Jeep,Yes,Petrol,5.7,211638 km,8.0,Automatic,4x4,4-5,Left wheel,Black,12,Medium
753,HYUNDAI,Sonata,2012,Sedan,Yes,Hybrid,2.4,116000 km,4.0,Automatic,Front,4-5,Left wheel,White,8,Medium
501,HONDA,FIT,2014,Hatchback,Yes,Petrol,1.5,165000 km,4.0,Automatic,Front,4-5,Left wheel,Blue,4,Medium
761,TOYOTA,Prius,2010,Hatchback,Yes,Hybrid,1.8,408997 km,4.0,Automatic,Front,4-5,Left wheel,White,12,Low
765,HYUNDAI,Santa FE,2015,Jeep,Yes,Diesel,2,88829 km,4.0,Automatic,Front,4-5,Left wheel,White,4,Very High
1537,TOYOTA,Highlander,2009,Jeep,Yes,Hybrid,3.3,318358 km,6.0,Automatic,4x4,4-5,Left wheel,Black,12,Low
-,HONDA,FIT,2008,Hatchback,No,Petrol,1.3,174000 km,4.0,Tiptronic,Front,4-5,Right-hand drive,White,8,Medium
584,MERCEDES-BENZ,C 250,2014,Sedan,Yes,Petrol,1.8,64270 km,4.0,Automatic,Rear,4-5,Left wheel,Grey,0,Very High
584,HYUNDAI,Elantra,2014,Sedan,Yes,Petrol,1.8,0 km,4.0,Automatic,Front,4-5,Left wheel,Grey,12,Low
441,HYUNDAI,Sonata,2015,Sedan,Yes,Hybrid,2.4,261928 km,4.0,Automatic,Front,4-5,Left wheel,Black,0,Low
810,HYUNDAI,Elantra,2016,Sedan,Yes,Petrol,1.8,113365 km,4.0,Automatic,Front,4-5,Left wheel,Black,12,Low
640,CHEVROLET,Captiva,2013,Jeep,Yes,Diesel,2,170000 km,4.0,Automatic,Front,4-5,Left wheel,Black,4,Very High
1249,HYUNDAI,H1,2017,Universal,Yes,Diesel,2.5,143629 km,4.0,Automatic,Front,4-5,Left wheel,Black,4,Very High
877,HYUNDAI,Tucson,2017,Jeep,Yes,Diesel,1.7,93720 km,4.0,Automatic,Front,4-5,Left wheel,White,4,Very High
518,TOYOTA,RAV 4,2016,Jeep,No,Hybrid,2.5,19000 km,4.0,Tiptronic,4x4,4-5,Left wheel,Blue,12,Very High
1091,CHEVROLET,Impala,2016,Sedan,Yes,Petrol,2.5,66522 km,4.0,Automatic,Front,4-5,Left wheel,Silver,4,Very High
1659,TOYOTA,Tundra,2014,Sedan,Yes,Petrol,5.7,0 km,8.0,Automatic,4x4,4-5,Left wheel,White,12,Low
769,CHEVROLET,Captiva,2011,Jeep,Yes,Diesel,2.2,70479 km,4.0,Automatic,Front,4-5,Left wheel,Grey,4,High
400,TOYOTA,Aqua,2018,Universal,Yes,Hybrid,1.5,9942 km,4.0,Automatic,Front,4-5,Left wheel,Grey,4,Very High
1055,FORD,Explorer,2013,Jeep,Yes,Petrol,3.5,122128 km,6.0,Automatic,Front,4-5,Left wheel,Grey,12,Low
765,BMW,X3,2015,Jeep,Yes,Petrol,2,123923 km,4.0,Automatic,4x4,4-5,Left wheel,Black,12,Low
-,HONDA,FIT,2006,Hatchback,No,Petrol,1.5,150000 km,4.0,Manual,Front,4-5,Right-hand drive,Silver,2,Medium
-,HONDA,FIT,2004,Hatchback,Yes,Petrol,1.3,150000 km,4.0,Automatic,Front,4-5,Right-hand drive,Silver,4,Medium
629,HYUNDAI,Elantra,2015,Sedan,Yes,Petrol,1.6,135378 km,4.0,Automatic,Front,4-5,Left wheel,White,4,High
640,FORD,Fusion,2013,Sedan,Yes,Hybrid,2,141000 km,4.0,Automatic,Front,4-5,Left wheel,Carnelian red,8,Very High
891,HYUNDAI,Elantra,2016,Sedan,No,Petrol,2,161600 km,4.0,Tiptronic,Front,4-5,Left wheel,White,11,Very High
-,LEXUS,IS-F,2008,Sedan,Yes,Petrol,5,101000 km,8.0,Tiptronic,Rear,4-5,Left wheel,Grey,12,Very High
1079,PORSCHE,Cayman,2018,Jeep,Yes,Petrol,2,1166 km,4.0,Automatic,Rear,4-5,Left wheel,White,12,Very High
-,TOYOTA,Land Cruiser Prado,2014,Jeep,Yes,Diesel,3.0 Turbo,137000 km,6.0,Tiptronic,4x4,>5,Left wheel,Black,12,Very High
-,MERCEDES-BENZ,B 180,2009,Hatchback,Yes,Diesel,2.0 Turbo,151000 km,4.0,Tiptronic,Front,4-5,Left wheel,Beige,8,Medium
-,NISSAN,Juke,2015,Jeep,No,Petrol,1.6 Turbo,29120 km,4.0,Tiptronic,4x4,4-5,Left wheel,Silver,12,Very High
2151,LEXUS,GX 470,2009,Jeep,Yes,Petrol,4.7,264339 km,8.0,Automatic,4x4,4-5,Left wheel,Black,0,Very High
-,BMW,550,2008,Sedan,Yes,Petrol,4.8,227000 km,8.0,Tiptronic,Rear,4-5,Left wheel,Black,8,Very High
765,HYUNDAI,Elantra,2015,Sedan,Yes,Petrol,2,125890 km,4.0,Automatic,Front,4-5,Left wheel,Brown,12,Low
-,NISSAN,Tiida,2005,Hatchback,Yes,Petrol,1.5,130000 km,4.0,Automatic,Front,4-5,Right-hand drive,Silver,4,Medium
934,SUBARU,Forester,2015,Jeep,Yes,Petrol,2.5,93170 km,4.0,Automatic,4x4,4-5,Left wheel,Red,0,Medium
-,MERCEDES-BENZ,E 200,1994,Sedan,No,Petrol,2,368268 km,4.0,Manual,Rear,4-5,Left wheel,Grey,4,Medium
753,JEEP,Compass,2012,Jeep,Yes,Petrol,2.4,88000 km,4.0,Automatic,Front,4-5,Left wheel,Grey,4,Very High
-,VAZ,2121 (Niva),1999,Sedan,Yes,Petrol,1.7,1000 km,5.0,Manual,4x4,2-3,Left wheel,White,6,Low
690,HONDA,Civic,2016,Sedan,Yes,Petrol,1.5,54631 km,4.0,Automatic,Front,4-5,Left wheel,Black,4,Very High
-,TOYOTA,Prius,2010,Sedan,No,Hybrid,1.8,224000 km,4.0,Automatic,Front,4-5,Left wheel,Black,4,Low
917,AUDI,A7,2013,Hatchback,Yes,Petrol,3,301707 km,6.0,Automatic,4x4,4-5,Left wheel,Grey,0,Medium
1104,BMW,X5,2015,Jeep,Yes,Diesel,3,160000 km,6.0,Automatic,4x4,4-5,Left wheel,Black,5,Very High
765,HYUNDAI,Tucson,2015,Jeep,Yes,Diesel,2,32329 km,4.0,Automatic,Front,4-5,Left wheel,White,4,Very High
502,FORD,Fusion,2013,Sedan,No,Petrol,1.5 Turbo,100000 km,4.0,Automatic,Front,4-5,Left wheel,Black,8,High
1017,HYUNDAI,Elantra,2017,Jeep,Yes,Petrol,2,284251 km,4.0,Automatic,Front,4-5,Left wheel,Grey,12,Low
-,KIA,Optima,2013,Sedan,Yes,Petrol,2.4,101037 km,4.0,Tiptronic,Front,4-5,Left wheel,Carnelian red,12,Very High
1705,SSANGYONG,REXTON,2007,Jeep,Yes,Diesel,2.7,76121 km,4.0,Automatic,Front,4-5,Left wheel,Silver,4,Medium
382,HYUNDAI,Sonata hybrid,2014,Sedan,No,Hybrid,2.4,107300 km,4.0,Tiptronic,Front,4-5,Left wheel,Silver,10,Low
707,HYUNDAI,Sonata,2011,Sedan,Yes,Petrol,2,149000 km,4.0,Automatic,Front,4-5,Left wheel,Silver,4,Medium
891,HYUNDAI,Elantra limited,2016,Sedan,Yes,Petrol,2,92000 km,4.0,Automatic,Front,4-5,Left wheel,Blue,12,Very High
584,TOYOTA,Corolla LE,2014,Sedan,Yes,Petrol,1.8,66239 km,4.0,Automatic,Front,4-5,Left wheel,White,8,High
836,HYUNDAI,Sonata,2010,Sedan,Yes,Petrol,2,205972 km,4.0,Automatic,Front,4-5,Left wheel,Grey,4,High
-,BMW,X5,2004,Jeep,Yes,Diesel,3.0 Turbo,77000 km,6.0,Tiptronic,4x4,4-5,Left wheel,Black,12,Low
1079,HYUNDAI,Elantra,2018,Sedan,Yes,Petrol,2,61398 km,4.0,Automatic,Front,4-5,Left wheel,Black,12,Medium
583,HYUNDAI,Elantra,2011,Sedan,Yes,Petrol,1.6,141881 km,4.0,Automatic,Front,4-5,Left wheel,White,4,High
640,HYUNDAI,Tucson,2013,Jeep,Yes,Diesel,2,118409 km,4.0,Automatic,Front,4-5,Left wheel,Red,4,Very High
690,LEXUS,RX 450,2016,Jeep,Yes,Hybrid,3.5,59858 km,6.0,Automatic,Front,4-5,Left wheel,Silver,12,Very High
-,HYUNDAI,Elantra GT,2013,Hatchback,No,Petrol,1.8,133280 km,4.0,Tiptronic,Front,4-5,Left wheel,Black,10,Very High
650,VOLKSWAGEN,Jetta,2016,Sedan,No,Petrol,1.4 Turbo,36000 km,4.0,Tiptronic,Front,4-5,Left wheel,Grey,6,High
584,HYUNDAI,Elantra,2014,Sedan,No,Petrol,1.8,102000 km,4.0,Automatic,Front,4-5,Left wheel,Blue,12,Medium
640,CHEVROLET,Captiva,2013,Jeep,Yes,Diesel,2,153000 km,4.0,Automatic,Front,4-5,Left wheel,Grey,4,Very High
271,TOYOTA,Aqua,2014,Hatchback,Yes,Hybrid,1.5,8646 km,4.0,Automatic,Front,4-5,Left wheel,White,4,Very High
1408,FORD,Transit,2007,Microbus,No,Diesel,2.2 Turbo,280000 km,4.0,Manual,Front,4-5,Left wheel,White,2,High
629,HYUNDAI,Elantra,2015,Sedan,Yes,Petrol,1.6,109000 km,4.0,Automatic,Front,4-5,Left wheel,White,4,Very High
-,SUBARU,Forester,2000,Jeep,No,CNG,2,200000 km,4.0,Automatic,4x4,4-5,Right-hand drive,White,4,Medium
777,HYUNDAI,H1,2014,Minivan,Yes,Diesel,2.5,175342 km,4.0,Automatic,Front,4-5,Left wheel,Grey,4,Very High
891,HYUNDAI,Tucson,2016,Jeep,Yes,Diesel,2,41674 km,4.0,Automatic,Front,4-5,Left wheel,Grey,4,Very High
-,LAND ROVER,Land Rover Sport,2006,Jeep,Yes,Petrol,4.4,195000 km,6.0,Tiptronic,4x4,4-5,Left wheel,Blue,8,High
781,TOYOTA,Camry sport,2012,Sedan,Yes,Petrol,2.5,75000 km,4.0,Tiptronic,Front,4-5,Left wheel,White,12,Very High
-,VOLKSWAGEN,Passat,2002,Sedan,No,Petrol,1.8 Turbo,0 km,4.0,Tiptronic,Front,4-5,Left wheel,Silver,6,Low
777,SUBARU,Forester,2014,Jeep,Yes,Petrol,2.5,234781 km,4.0,Automatic,4x4,4-5,Left wheel,Black,0,Low
-,BMW,525,2000,Sedan,Yes,Petrol,2.5,17000 km,6.0,Manual,Rear,4-5,Right-hand drive,Green,4,Medium
738,VOLKSWAGEN,Jetta,2017,Sedan,No,Petrol,1.4 Turbo,99302 km,4.0,Manual,Front,4-5,Left wheel,White,6,High
650,CHEVROLET,Cruze,2016,Sedan,No,Petrol,1.4 Turbo,91440 km,4.0,Automatic,Front,4-5,Left wheel,Silver,12,High
779,CADILLAC,ATS,2013,Sedan,Yes,Petrol,2.5,196770 km,4.0,Automatic,Rear,4-5,Left wheel,White,12,Medium
333,FORD,Fusion,2014,Sedan,Yes,Hybrid,2,186048 km,4.0,Automatic,Front,4-5,Left wheel,Black,0,Low
765,HYUNDAI,Sonata,2015,Sedan,Yes,LPG,2,280622 km,4.0,Automatic,Front,4-5,Left wheel,Silver,4,Medium
-,FORD,Transit,2007,Goods wagon,No,Diesel,2.4 Turbo,350000 km,4.0,Manual,Rear,4-5,Left wheel,White,0,Low
